year,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals,crime_total_murders,crime_total_firearms,crime_handguns,crime_rifles,crime_shotguns,crime_firearms_type_unknown,crime_knives__cutting _instruments,crime_other_weapons,crime_hands_fists_feet_etc,Political
31-Dec-09,District of Columbia,0,0,356,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,144,113,80,1,1,31,17,9,5,Blue
31-Dec-07,Washington,77723,0,79340,96921,0,3462,125,43,43,0,7576,10923,0,0,0,0,0,0,0,0,0,0,0,0,276156,170,99,78,5,6,10,27,29,15,Blue
31-Dec-18,Washington,177654,736,202826,148345,33596,9382,24,162,158,33,14738,12222,177,5619,1370,136,0,0,10377,8549,859,179,153,6,627301,232,138,76,2,5,55,45,35,14,Blue
31-Dec-17,Washington,159260,713,198632,138087,22861,7790,35,93,106,13,14815,12508,73,5438,1377,88,0,0,9657,7415,487,98,118,14,579678,228,134,75,1,1,57,36,40,18,Blue
31-Dec-09,Washington,83867,0,111756,111328,1612,6684,54,25,45,0,9178,12183,0,0,0,0,0,0,0,0,0,0,0,0,336732,169,101,75,16,4,6,35,14,19,Blue
31-Dec-10,Washington,80101,0,117336,103848,4031,4487,30,49,86,2,11303,14051,18,0,0,0,0,0,0,0,0,0,0,0,335342,151,93,73,4,2,14,24,22,12,Blue
31-Dec-10,Connecticut,90942,0,47545,40546,470,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179595,131,97,72,0,1,24,20,8,6,Blue
31-Dec-12,Washington,132907,0,183670,154850,9359,6479,56,28,35,3,14935,16879,8,0,0,0,0,0,0,0,0,0,0,0,519209,194,106,71,4,3,28,43,33,12,Blue
31-Dec-08,New Mexico,4258,0,40601,46633,0,2562,0,50,193,0,3777,8057,0,0,0,0,0,0,0,0,0,0,0,0,106131,134,88,70,4,7,7,22,13,11,Blue
31-Dec-16,Washington,268274,652,214106,151029,23732,8028,39,78,74,16,15082,13844,78,4747,1429,78,0,0,6669,5472,382,69,104,14,713996,195,127,69,11,5,42,19,38,11,Blue
31-Dec-06,Massachusetts,96876,0,21341,16888,0,763,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137148,185,111,66,2,3,40,42,28,4,Blue
31-Dec-07,New Mexico,3398,0,33745,42206,0,1871,0,28,93,0,3595,8368,0,0,0,0,0,0,0,0,0,0,0,0,93304,148,81,66,10,1,4,20,26,21,Blue
31-Dec-07,Massachusetts,125399,0,22247,16963,0,727,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165446,182,114,65,1,3,45,31,23,14,Blue
31-Dec-15,Colorado,48739,0,216791,163128,11488,12415,3,2,0,0,5,7,0,1228,253,3,0,0,0,0,0,0,0,0,454062,176,115,65,12,6,32,25,19,17,Blue
31-Dec-15,District of Columbia,28,0,674,32,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,742,162,121,65,1,0,55,28,8,5,Blue
31-Dec-12,Colorado,41271,0,184989,170969,4939,12650,4,2,1,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,414838,160,92,61,3,5,23,29,22,17,Blue
