group,variable ,value
prepawn_other,crime_rifles,0.109619438
prepawn_other,crime_shotguns,0.027304215
prepawn_other,crime_firearms_type_unknown,0.206222339
prepawn_other,crime_knives__cutting _instruments,0.05129194
prepawn_other,crime_other_weapons,0.072953036
prepawn_other,crime_hands_fists_feet_etc,0.08143665
redemption_handgun,year,0.140056663
redemption_handgun,permit,0.218893809
redemption_handgun,permit_recheck,-0.012204223
redemption_handgun,handgun,0.523212484
redemption_handgun,long_gun,0.458100889
redemption_handgun,other,0.34413713
redemption_handgun,multiple,0.410385181
redemption_handgun,admin,0.103098994
redemption_handgun,prepawn_handgun,0.802173164
redemption_handgun,prepawn_long_gun,0.582461761
redemption_handgun,prepawn_other,0.328565034
redemption_handgun,redemption_handgun,1
redemption_handgun,redemption_long_gun,0.89880137
redemption_handgun,redemption_other,0.763598282
redemption_handgun,returned_handgun,0.103155681
redemption_handgun,returned_long_gun,0.029755147
redemption_handgun,returned_other,0.026595936
redemption_handgun,rentals_handgun,0.094010589
redemption_handgun,rentals_long_gun,0.051250735
redemption_handgun,private_sale_handgun,0.113102885
redemption_handgun,private_sale_long_gun,0.110275162
redemption_handgun,private_sale_other,0.152213701
redemption_handgun,return_to_seller_handgun,0.192129703
redemption_handgun,return_to_seller_long_gun,0.213619655
redemption_handgun,return_to_seller_other,0.228257804
redemption_handgun,totals,0.403315293
redemption_handgun,crime_total_murders,0.367386528
redemption_handgun,crime_total_firearms,0.369494228
redemption_handgun,crime_handguns,0.31738656
redemption_handgun,crime_rifles,0.461805014
redemption_handgun,crime_shotguns,0.441120873
redemption_handgun,crime_firearms_type_unknown,0.348169173
redemption_handgun,crime_knives__cutting _instruments,0.301693945
redemption_handgun,crime_other_weapons,0.320697143
redemption_handgun,crime_hands_fists_feet_etc,0.423794643
redemption_long_gun,year,-0.024482089
redemption_long_gun,permit,0.222183586
redemption_long_gun,permit_recheck,-0.030859533
redemption_long_gun,handgun,0.382736286
redemption_long_gun,long_gun,0.414240659
redemption_long_gun,other,0.204750334
redemption_long_gun,multiple,0.329358687
redemption_long_gun,admin,0.125497937
redemption_long_gun,prepawn_handgun,0.746851406
redemption_long_gun,prepawn_long_gun,0.670415245
redemption_long_gun,prepawn_other,0.193298694
redemption_long_gun,redemption_handgun,0.89880137
redemption_long_gun,redemption_long_gun,1
redemption_long_gun,redemption_other,0.542597614
redemption_long_gun,returned_handgun,-0.014231311
redemption_long_gun,returned_long_gun,-0.048583179
redemption_long_gun,returned_other,-0.023139891
redemption_long_gun,rentals_handgun,0.067765935
redemption_long_gun,rentals_long_gun,0.027567854
redemption_long_gun,private_sale_handgun,0.038440073
redemption_long_gun,private_sale_long_gun,0.041377032
redemption_long_gun,private_sale_other,0.052024458
redemption_long_gun,return_to_seller_handgun,0.047535231
redemption_long_gun,return_to_seller_long_gun,0.062697704
redemption_long_gun,return_to_seller_other,0.107402819
redemption_long_gun,totals,0.355562349
redemption_long_gun,crime_total_murders,0.306987321
redemption_long_gun,crime_total_firearms,0.301699631
redemption_long_gun,crime_handguns,0.267587831
redemption_long_gun,crime_rifles,0.44617321
redemption_long_gun,crime_shotguns,0.473741363
redemption_long_gun,crime_firearms_type_unknown,0.234402377
redemption_long_gun,crime_knives__cutting _instruments,0.255430054
redemption_long_gun,crime_other_weapons,0.282498552
redemption_long_gun,crime_hands_fists_feet_etc,0.403868972
redemption_other,year,0.346963875
redemption_other,permit,0.152897999
redemption_other,permit_recheck,0.003403576
redemption_other,handgun,0.565658071
redemption_other,long_gun,0.434409837
redemption_other,other,0.587381648
redemption_other,multiple,0.349453489
redemption_other,admin,0.066312116
redemption_other,prepawn_handgun,0.549978064
redemption_other,prepawn_long_gun,0.311009126
redemption_other,prepawn_other,0.541553442
redemption_other,redemption_handgun,0.763598282
redemption_other,redemption_long_gun,0.542597614
redemption_other,redemption_other,1
redemption_other,returned_handgun,0.179504317
redemption_other,returned_long_gun,0.138873551
redemption_other,returned_other,0.080262042
redemption_other,rentals_handgun,0.144583453
redemption_other,rentals_long_gun,0.127971677
redemption_other,private_sale_handgun,0.275296923
redemption_other,private_sale_long_gun,0.279612768
redemption_other,private_sale_other,0.363122592
redemption_other,return_to_seller_handgun,0.24552252
redemption_other,return_to_seller_long_gun,0.262094787
redemption_other,return_to_seller_other,0.377116952
redemption_other,totals,0.359390972
redemption_other,crime_total_murders,0.384862348
redemption_other,crime_total_firearms,0.394676501
redemption_other,crime_handguns,0.309283034
redemption_other,crime_rifles,0.382978628
redemption_other,crime_shotguns,0.281357091
redemption_other,crime_firearms_type_unknown,0.49699248
redemption_other,crime_knives__cutting _instruments,0.32084467
redemption_other,crime_other_weapons,0.31305883
redemption_other,crime_hands_fists_feet_etc,0.386112291
returned_handgun,year,0.314324949
returned_handgun,permit,0.033884217
returned_handgun,permit_recheck,-0.006862497
returned_handgun,handgun,0.392056931
returned_handgun,long_gun,0.092137592
returned_handgun,other,0.242449188
returned_handgun,multiple,0.080224918
returned_handgun,admin,0.048074582
returned_handgun,prepawn_handgun,0.081272953
returned_handgun,prepawn_long_gun,0.033233386
returned_handgun,prepawn_other,0.228621623
returned_handgun,redemption_handgun,0.103155681
returned_handgun,redemption_long_gun,-0.014231311
returned_handgun,redemption_other,0.179504317
returned_handgun,returned_handgun,1
returned_handgun,returned_long_gun,0.909505825
returned_handgun,returned_other,0.432043745
returned_handgun,rentals_handgun,0.108629218
returned_handgun,rentals_long_gun,0.094244728
returned_handgun,private_sale_handgun,0.483189405
returned_handgun,private_sale_long_gun,0.473557768
returned_handgun,private_sale_other,0.530664479
returned_handgun,return_to_seller_handgun,0.589275117
returned_handgun,return_to_seller_long_gun,0.578938613
returned_handgun,return_to_seller_other,0.263354052
returned_handgun,totals,0.133754927
returned_handgun,crime_total_murders,0.053312516
returned_handgun,crime_total_firearms,0.065551022
returned_handgun,crime_handguns,0.051959361
returned_handgun,crime_rifles,0.036060706
returned_handgun,crime_shotguns,-0.02227797
returned_handgun,crime_firearms_type_unknown,0.095134918
returned_handgun,crime_knives__cutting _instruments,0.010676112
returned_handgun,crime_other_weapons,0.041520916
returned_handgun,crime_hands_fists_feet_etc,-0.00020558
returned_long_gun,year,0.330689507
returned_long_gun,permit,0.036593859
returned_long_gun,permit_recheck,0.001161544
returned_long_gun,handgun,0.327394648
returned_long_gun,long_gun,0.067262742
returned_long_gun,other,0.200638838
returned_long_gun,multiple,0.027372741
returned_long_gun,admin,0.036836236
returned_long_gun,prepawn_handgun,0.009937452
returned_long_gun,prepawn_long_gun,-0.00591551
returned_long_gun,prepawn_other,0.239420533
returned_long_gun,redemption_handgun,0.029755147
returned_long_gun,redemption_long_gun,-0.048583179
returned_long_gun,redemption_other,0.138873551
returned_long_gun,returned_handgun,0.909505825
returned_long_gun,returned_long_gun,1
returned_long_gun,returned_other,0.496302747
returned_long_gun,rentals_handgun,0.173618095
returned_long_gun,rentals_long_gun,0.208651871
returned_long_gun,private_sale_handgun,0.562155257
returned_long_gun,private_sale_long_gun,0.571220218
returned_long_gun,private_sale_other,0.538432201
returned_long_gun,return_to_seller_handgun,0.448249713
returned_long_gun,return_to_seller_long_gun,0.463868155
returned_long_gun,return_to_seller_other,0.301884562
returned_long_gun,totals,0.116425595
returned_long_gun,crime_total_murders,0.036155315
returned_long_gun,crime_total_firearms,0.041357657
returned_long_gun,crime_handguns,0.03837155
returned_long_gun,crime_rifles,-0.001509911
returned_long_gun,crime_shotguns,-0.036181722
returned_long_gun,crime_firearms_type_unknown,0.051717549
returned_long_gun,crime_knives__cutting _instruments,0.017074435
returned_long_gun,crime_other_weapons,0.031652852
returned_long_gun,crime_hands_fists_feet_etc,0.008063703
returned_other,year,0.236909654
returned_other,permit,0.008837204
returned_other,permit_recheck,0.03178172
returned_other,handgun,0.058885486
returned_other,long_gun,-0.011229203
returned_other,other,0.116010891
returned_other,multiple,0.00662284
returned_other,admin,-0.013580744
returned_other,prepawn_handgun,0.006981644
returned_other,prepawn_long_gun,-0.000601488
returned_other,prepawn_other,0.156816337
returned_other,redemption_handgun,0.026595936
returned_other,redemption_long_gun,-0.023139891
returned_other,redemption_other,0.080262042
returned_other,returned_handgun,0.432043745
returned_other,returned_long_gun,0.496302747
returned_other,returned_other,1
returned_other,rentals_handgun,0.091048784
returned_other,rentals_long_gun,0.079117576
returned_other,private_sale_handgun,0.243928866
